电影名称,别称,导演,主演,年代,地区,影片类型,评分,评价人数,简介
怪兽电力公司,/ 怪兽公司(港)  /  怪物公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...,约...,,2001,儿童 喜剧 动画 奇幻 冒险,8.8,,
玩具总动员3,/ 反斗奇兵3(港)  /  玩具的故事3,李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hank,汤姆·汉克斯 Tom Hank,,2010,喜剧 动画 奇幻 冒险,8.9,,
请以你的名字呼唤我,/ 以你的名字呼唤我(港 / 台),卢卡·瓜达尼诺 Luca Guadagnino   主演: 艾米·汉莫 Armie Hammer / ...,艾米·汉莫 Armie Hammer / ...,,2017,剧情 爱情 同性,8.8,,
教父3,/ 教父第三集  /  教父 III,弗朗西斯·福特·科波拉 Franci,阿尔·帕西诺 A...,,1990,剧情 犯罪,9.0,,
色，戒,/ 色|戒  /  色·戒,李安 Ang Lee   主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,,2007,剧情 爱情 情色,8.7,,
幸福终点站,/ 机场客运站(港)  /  航站情缘(台),史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hank,汤姆·汉克斯 Tom Hank,,2004,喜剧 剧情 爱情,8.8,,
哪吒闹海,/ Prince Nezha's Triumph Against Dragon King  /  Nezha Conquers the Dragon King,王树忱 Shuchen Wang / 严定宪 Dingxian Yan   主演: 梁正晖 Zhenghui ...,梁正晖 Zhenghui ...,,1979,冒险 动画 奇幻,9.2,,
被解救的姜戈,/ 被解放的姜戈  /  决杀令(台),昆汀·塔伦蒂诺 Quentin Tarantino   主演: 杰米·福克斯 Jamie Foxx /...,杰米·福克斯 Jamie Foxx /...,,2012,剧情 动作 西部 冒险,8.8,,
小森林 冬春篇,/ 小森食光 / 冬春篇(台),森淳一 Junichi Mori   主演: 桥本爱 Ai Ha,桥本爱 Ai Ha,,2015,剧情,9.0,,
九品芝麻官,/ 九品芝麻官之白面包青天  /  Hail the Judge,王晶 Jing Wong   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,,1994,剧情 喜剧 古装,8.8,,
釜山行,/ 尸杀列车(港)  /  尸速列车(台),延尚昊 Sang-ho Yeon   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,,2016,动作 惊悚 灾难,8.6,,
神偷奶爸,/ 卑鄙的我  /  坏蛋奖门人(港),皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chri,...,,2010,喜剧 动画 冒险,8.7,,
萤火之森,/ 萤火之社  /  Hotarubi no mori e,大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,佐仓绫音 Ayane Sakura / 内山昂辉 K...,,2011,剧情 爱情 动画 奇幻,8.8,,
喜宴,/ The Wedding Banquet,李安 Ang Lee   主演: 赵文瑄 Win,赵文瑄 Win,,1993,剧情 喜剧 爱情 同性 家庭,9.0,,
告白,/ 自白  /  母亲,中岛哲也 Tet,松隆子 Takako Mat,,2010,剧情 悬疑,8.8,,
玛丽和马克思,/ 巧克力情缘(台)  /  同是天涯寂寞客,亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...,托妮·科莱特 Toni Collette / 菲利...,,2009,剧情 喜剧 动画,9.0,,
头号玩家,/ 玩家一号  /  挑战者1号(港),史蒂文·斯皮尔伯格 Steven Spielberg   主演: 泰伊·谢里丹 Tye Sheri...,泰伊·谢里丹 Tye Sheri...,,2018,动作 科幻 冒险,8.6,,
模仿游戏,/ 解码游戏(港)  /  模拟游戏,莫滕·泰杜姆 Morten Tyldum   主演: 本尼迪克特·康伯巴奇 Benedict C...,本尼迪克特·康伯巴奇 Benedict C...,,2014,剧情 传记 战争 同性,8.8,,
大鱼,/ 大鱼奇缘(港)  /  大智若鱼(台),蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,伊万·麦克格雷格 Ewan McGregor / 阿...,,2003,剧情 爱情 奇幻 冒险,8.8,,
七武士,/ 七侠四义(港)  /  七剑客(港),黑泽明 Akira Kuro,三船敏郎 To,,1954,动作 冒险 剧情,9.3,,
惊魂记,/ 精神病患者  /  触目惊心(港),阿尔弗雷德·希区柯克 Alfred Hitchcock   主演: 安东尼·博金斯 Antho...,安东尼·博金斯 Antho...,,1960,悬疑 惊悚 恐怖,9.0,,
射雕英雄传之东成西就,/ 东成西就  /  大英雄 (日本),刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,,1993,喜剧 奇幻 武侠 古装,8.7,,
血战钢锯岭,/ 钢锯岭  /  钢铁英雄(台),梅尔·吉布森 Mel Gib,安德鲁·加菲尔德 Andrew Garfield /...,,2016,剧情 传记 历史 战争,8.7,,
我是山姆,/ 不一样的爸爸(港)  /  他不笨，他是我爸爸(台),杰茜·尼尔森 Je,Sean Penn / Dakota Fanning / Mi...,,2001,剧情 家庭,9.0,,
你的名字。,/ 你的名字  /  君之名,新海诚 Makoto Shinkai   主演: 神木隆之介 Ryûno,神木隆之介 Ryûno,,2016,剧情 爱情 动画,8.5,,
阳光姐妹淘,/ 阳光姊妹淘(港)  /  桑尼,姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,,2011,剧情 喜剧,8.8,,
恐怖直播,/ 死亡“动”新闻(港)  /  恐怖攻击直播(台),金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,,2013,剧情 犯罪 悬疑,8.7,,
黑客帝国3：矩阵革命,/ 22世纪杀人网络3：惊变世纪(港)  /  骇客任务完结篇：最后战役(台),拉娜·沃卓斯基 Lana Wachow,,,2003,动作 科幻,8.8,,
背靠背，脸对脸,"/ 背对背，脸对脸  /  Back to Back, Face to Face",黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang   主演: 牛振华 Zhenhua N...,牛振华 Zhenhua N...,,1994,剧情,9.5,,
心灵奇旅,/ 灵魂奇遇记(港)  /  灵魂急转弯(台),彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Power,杰米·...,,2020,动画 奇幻 音乐,8.7,,
电锯惊魂,/ 恐惧斗室(港)  /  夺魂锯(台),詹姆斯·温 Jame,雷·沃纳尔 Leigh Whannell / 加利·艾...,,2004,悬疑 惊悚 恐怖,8.7,,
三块广告牌,/ 广告牌杀人事件(港)  /  意外(台),马丁·麦克唐纳 Martin McDonagh   主演: 弗兰西斯·麦克多蒙德 France...,弗兰西斯·麦克多蒙德 France...,,2017,剧情 犯罪,8.7,,
小丑,/ 小丑起源电影：罗密欧  /  Romeo,托德·菲利普斯 Todd Phillip,杰昆·菲尼克斯 Joaquin Phoeni...,,2019,剧情 犯罪 惊悚,8.7,,
谍影重重3,/ 叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),保罗·格林格拉斯 Paul Greengra,马特·达蒙 Matt Damon / ...,,2007,动作 悬疑 惊悚,8.9,,
达拉斯买家俱乐部,/ 续命枭雄(港)  /  药命俱乐部(台),让-马克·瓦雷 Jean-Marc Vallée   主演: 马修·麦康纳 Matthew McCon...,马修·麦康纳 Matthew McCon...,,2013,剧情 传记 同性,8.8,,
疯狂原始人,/ 古鲁家族(港 / 台),科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chri,,,2013,喜剧 动画 冒险,8.7,,
无间道2,/ 无间道前传  /  Infernal Affairs II,刘伟强 Andrew Lau / 麦兆辉 Alan Mak   主演: 陈冠希 Edi,陈冠希 Edi,,2003,剧情 犯罪 惊悚,8.8,,
绿里奇迹,/ 绿色奇迹(台)  /  绿色英里,弗兰克·德拉邦特 Frank Darabont   主演: 汤姆·汉克斯 Tom Hank,汤姆·汉克斯 Tom Hank,,1999,犯罪 剧情 奇幻 悬疑,8.9,,
爱在午夜降临前,/ 情约半生(港)  /  爱在午夜希腊时(台),理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,伊桑·霍克 Ethan Hawke ...,,2013,剧情 爱情,8.9,,
海街日记,/ 海街女孩日记(港)  /  Kamakura Diary,是枝裕和 Hirokazu Koreeda   主演: 绫濑遥 Haruka Aya,绫濑遥 Haruka Aya,,2015,剧情 家庭,8.8,,
